date,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
04/01/2020,6188,221,6549,2696,42287,12326,25207,4550,27233,21370,296,1366,49075,16065,7335,3967,4199,22287,779,21487,56573,33022,4988,6035,6235,225,4624,3948,1895,98950,3150,102351,9339,960,16196,2812,1843,41166,8669,5007,2396,9651,25233,3816,558,15195,9318,960,5764,429
05/01/2020,11144,103,12161,4133,62564,10909,13976,4767,20687,20325,38,871,65179,16200,11814,5562,5167,11741,1254,30703,36494,15176,19478,8809,5466,70,9507,3461,2375,40088,4287,29323,18341,1518,17241,3011,1723,25923,5690,6301,2509,11818,35651,5273,104,29338,7340,877,11229,344
06/01/2020,20543,511,63969,13754,119651,6452,3832,2054,100873,38187,283,3464,23832,11122,9760,4979,5796,19726,951,14248,8338,13557,12002,12749,8405,560,4965,10640,1117,11686,4476,10657,37335,990,16881,12980,4629,15180,1843,26552,1792,21606,103182,13285,227,16964,11458,951,13682,604
07/01/2020,50368,2158,92930,21976,267473,14238,3238,3138,318333,109778,1289,14744,36691,21170,15523,12822,14881,56102,630,21851,8897,20243,18737,31111,29025,2998,7081,29978,811,11390,8520,11703,58235,3045,39222,22919,9886,24862,2296,53666,2041,62869,262423,17994,211,28579,24106,3756,25833,1255
08/01/2020,38267,2162,25320,18324,207667,10508,3196,2658,149495,88815,6744,11254,56460,27769,20467,14800,18462,33303,590,19045,10848,22488,21138,23703,35186,3608,8183,20578,684,11474,4664,10661,47459,5607,32523,21543,8129,21859,2798,31496,4882,48145,186848,11770,213,30760,17398,3772,23546,1097
09/01/2020,28128,2650,16870,23324,105890,13443,4736,3402,76486,54021,3605,10193,59712,26285,24561,17137,20543,18426,920,16903,11469,25192,23115,15974,47975,6135,11611,10631,1020,15456,4201,14489,40616,10427,30704,30951,6916,25328,3160,25373,9387,41103,135168,20900,121,27145,13177,5517,50519,2217
10/01/2020,38241,7674,28261,28236,112847,36132,13465,4374,96200,53126,2509,22527,125610,60932,40352,25432,38914,19711,1331,20773,25199,58394,50472,21307,61524,19671,25481,20964,2897,40803,17571,30123,63783,23321,63686,40112,11567,49813,9096,29641,24188,63994,219829,42460,424,33732,20199,8859,109300,7640
11/01/2020,58915,16212,89666,46252,298655,129960,47547,11032,195108,85977,2676,38217,315307,162265,101078,72265,74526,50020,5409,56360,65514,198047,171640,36003,128480,29710,58528,53388,10552,121144,52187,95137,90703,34120,211093,91407,31225,157204,25378,43939,33588,118760,324642,81706,2060,59062,58901,23935,174942,20082
12/01/2020,112847,13627,193128,70133,1067379,99851,66954,21721,308618,201184,3507,37772,224543,173400,51225,70299,82094,77535,13035,79816,138271,133168,92990,63409,119001,18350,37522,72179,22262,160341,44723,218641,172150,12756,270287,102234,37255,280899,31745,104988,18252,206616,475511,81506,3351,116274,79536,39002,106158,10604
01/01/2021,95113,7207,231878,67052,966138,59902,68246,20431,394772,234890,3955,22088,165224,110618,37150,48923,99245,86316,14716,73370,140970,84089,47226,56254,87178,12515,23234,52100,22030,166759,30408,256235,221757,4907,198699,80709,29464,198039,24952,139314,9151,142385,619960,67486,4493,151625,66583,33605,70398,7648
02/01/2021,32909,3671,55676,26015,220372,32776,28672,8585,180518,96181,1534,8297,59226,33822,16833,17634,40619,28913,4986,26629,51135,34705,22702,18764,28368,5933,10396,14834,9530,92150,10747,106085,100868,2159,69795,20911,12414,87192,10550,56598,4155,46506,255402,24284,3201,68179,27373,10623,24779,2414
03/01/2021,22097,4384,24371,8100,91582,33846,29842,8108,150265,52313,2096,9435,60272,25500,15148,8070,22716,14965,6246,31215,49082,106034,36437,10406,19912,4722,8550,10132,8951,121926,6648,109061,53989,3503,51167,7706,9737,95480,11547,30691,5519,37921,138797,14636,4239,43780,25054,10185,19208,1918
