date,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
04/01/2020,272,6,301,54,1901,740,2254,148,1213,1013,15,54,2316,1110,161,120,228,1697,48,1161,3594,3529,353,255,319,11,69,222,77,7183,125,5167,390,20,937,216,86,2280,366,242,19,181,912,39,34,540,578,45,303,7
05/01/2020,357,1,587,69,2178,638,1625,214,1146,907,1,20,2955,967,379,87,191,831,39,1405,3319,1650,689,487,436,1,105,167,164,4183,231,2717,499,38,1204,109,50,3313,454,252,41,165,902,68,5,826,300,29,268,10
06/01/2020,323,4,803,144,1839,239,360,137,1090,753,1,9,1740,508,168,55,133,437,11,615,1046,682,435,324,244,5,98,112,128,3359,138,528,475,19,670,74,54,1045,146,299,31,240,1424,61,1,379,215,17,198,3
07/01/2020,634,10,2027,181,3134,147,108,75,3472,998,8,105,548,321,154,86,168,711,18,303,545,259,159,601,236,39,56,325,43,750,151,167,591,25,639,244,117,492,49,1053,41,458,6782,136,1,432,253,23,161,6
08/01/2020,597,15,1297,356,3794,102,34,20,4352,1908,48,171,573,341,251,88,208,1055,9,251,438,310,228,800,285,47,67,484,16,120,136,100,777,43,650,362,140,487,53,1040,33,714,4723,97,1,423,339,106,185,15
09/01/2020,348,18,630,570,2870,108,45,37,3070,1330,65,104,667,333,238,232,243,515,10,184,409,335,220,506,590,75,94,303,9,177,95,92,838,116,652,327,95,469,47,601,69,720,2074,51,0,609,201,132,219,12
10/01/2020,425,26,307,574,1779,231,105,68,2345,918,79,158,1135,719,357,351,298,407,6,205,523,597,427,349,898,193,161,136,42,227,144,227,804,276,486,578,131,657,93,502,201,852,2604,155,0,408,234,103,752,34
11/01/2020,665,38,706,554,1544,824,424,67,1890,1534,24,330,3056,1500,714,531,454,529,70,560,754,2060,1145,503,980,322,426,385,45,729,563,788,901,426,1245,1022,245,1746,209,527,511,1285,4847,276,14,455,439,301,1501,143
12/01/2020,1234,84,2328,1199,6760,1764,955,153,2994,1443,45,476,5042,2507,1467,1319,680,1033,140,1252,1615,3259,1708,989,1534,263,588,980,230,2077,913,2640,1464,344,2414,1551,541,5651,516,1153,540,2269,7048,388,65,1004,656,603,1643,208
01/01/2021,2816,55,4109,1184,14937,768,1124,171,5012,3284,120,299,3100,1618,1008,930,1157,1424,260,1221,2160,2518,888,1292,1208,273,252,1132,301,2353,793,3607,2594,112,2268,1521,481,5473,422,2088,290,2846,9743,390,38,1400,857,667,1182,158
02/01/2021,2243,37,2855,355,11286,311,532,321,4314,3134,29,132,1486,2606,566,935,872,716,85,717,1505,983,284,592,1184,123,164,679,111,1760,434,1723,1912,25,6116,504,254,2339,183,1002,110,1668,4948,272,30,2426,651,272,578,75
03/01/2021,622,12,998,386,5896,165,249,137,2495,1743,24,96,842,453,279,169,1456,533,41,414,1054,655,384,327,569,81,97,299,75,1318,213,783,882,19,1265,112,173,1094,77,410,50,494,1784,185,22,1336,293,383,312,29
