date,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,total
04/01/2020,272.0,6.0,301.0,54.0,1901.0,740.0,2254.0,148.0,1213.0,1013.0,15.0,54.0,2316.0,1110.0,161.0,120.0,228.0,1697.0,48.0,1161.0,3594.0,3529.0,353.0,255.0,319.0,11.0,69.0,222.0,77.0,7183.0,125.0,5167.0,390.0,20.0,937.0,216.0,86.0,2280.0,366.0,242.0,19.0,181.0,912.0,39.0,34.0,540.0,578.0,45.0,303.0,7.0,60056.0
05/01/2020,357.0,1.0,587.0,69.0,2178.0,638.0,1625.0,214.0,1146.0,907.0,1.0,20.0,2955.0,967.0,379.0,87.0,191.0,831.0,39.0,1405.0,3319.0,1650.0,689.0,487.0,436.0,1.0,105.0,167.0,164.0,4183.0,231.0,2717.0,499.0,38.0,1204.0,109.0,50.0,3313.0,454.0,252.0,41.0,165.0,902.0,68.0,5.0,826.0,300.0,29.0,268.0,10.0,40936.0
06/01/2020,323.0,4.0,803.0,144.0,1839.0,239.0,360.0,137.0,1090.0,753.0,1.0,9.0,1740.0,508.0,168.0,55.0,133.0,437.0,11.0,615.0,1046.0,682.0,435.0,324.0,244.0,5.0,98.0,112.0,128.0,3359.0,138.0,528.0,475.0,19.0,670.0,74.0,54.0,1045.0,146.0,299.0,31.0,240.0,1424.0,61.0,1.0,379.0,215.0,17.0,198.0,3.0,23437.0
07/01/2020,634.0,10.0,2027.0,181.0,3134.0,147.0,108.0,75.0,3472.0,998.0,8.0,105.0,548.0,321.0,154.0,86.0,168.0,711.0,18.0,303.0,545.0,259.0,159.0,601.0,236.0,39.0,56.0,325.0,43.0,750.0,151.0,167.0,591.0,25.0,639.0,244.0,117.0,492.0,49.0,1053.0,41.0,458.0,6782.0,136.0,1.0,432.0,253.0,23.0,161.0,6.0,28571.0
08/01/2020,597.0,15.0,1297.0,356.0,3794.0,102.0,34.0,20.0,4352.0,1908.0,48.0,171.0,573.0,341.0,251.0,88.0,208.0,1055.0,9.0,251.0,438.0,310.0,228.0,800.0,285.0,47.0,67.0,484.0,16.0,120.0,136.0,100.0,777.0,43.0,650.0,362.0,140.0,487.0,53.0,1040.0,33.0,714.0,4723.0,97.0,1.0,423.0,339.0,106.0,185.0,15.0,29106.0
09/01/2020,348.0,18.0,630.0,570.0,2870.0,108.0,45.0,37.0,3070.0,1330.0,65.0,104.0,667.0,333.0,238.0,232.0,243.0,515.0,10.0,184.0,409.0,335.0,220.0,506.0,590.0,75.0,94.0,303.0,9.0,177.0,95.0,92.0,838.0,116.0,652.0,327.0,95.0,469.0,47.0,601.0,69.0,720.0,2074.0,51.0,0.0,609.0,201.0,132.0,219.0,12.0,22184.0
10/01/2020,425.0,26.0,307.0,574.0,1779.0,231.0,105.0,68.0,2345.0,918.0,79.0,158.0,1135.0,719.0,357.0,351.0,298.0,407.0,6.0,205.0,523.0,597.0,427.0,349.0,898.0,193.0,161.0,136.0,42.0,227.0,144.0,227.0,804.0,276.0,486.0,578.0,131.0,657.0,93.0,502.0,201.0,852.0,2604.0,155.0,0.0,408.0,234.0,103.0,752.0,34.0,23673.0
11/01/2020,665.0,38.0,706.0,554.0,1544.0,824.0,424.0,67.0,1890.0,1534.0,24.0,330.0,3056.0,1500.0,714.0,531.0,454.0,529.0,70.0,560.0,754.0,2060.0,1145.0,503.0,980.0,322.0,426.0,385.0,45.0,729.0,563.0,788.0,901.0,426.0,1245.0,1022.0,245.0,1746.0,209.0,527.0,511.0,1285.0,4847.0,276.0,14.0,455.0,439.0,301.0,1501.0,143.0,41466.0
12/01/2020,1234.0,84.0,2328.0,1199.0,6760.0,1764.0,955.0,153.0,2994.0,1443.0,45.0,476.0,5042.0,2507.0,1467.0,1319.0,680.0,1033.0,140.0,1252.0,1615.0,3259.0,1708.0,989.0,1534.0,263.0,588.0,980.0,230.0,2077.0,913.0,2640.0,1464.0,344.0,2414.0,1551.0,541.0,5651.0,516.0,1153.0,540.0,2269.0,7048.0,388.0,65.0,1004.0,656.0,603.0,1643.0,208.0,79137.0
01/01/2021,2816.0,55.0,4109.0,1184.0,14937.0,768.0,1124.0,171.0,5012.0,3284.0,120.0,299.0,3100.0,1618.0,1008.0,930.0,1157.0,1424.0,260.0,1221.0,2160.0,2518.0,888.0,1292.0,1208.0,273.0,252.0,1132.0,301.0,2353.0,793.0,3607.0,2594.0,112.0,2268.0,1521.0,481.0,5473.0,422.0,2088.0,290.0,2846.0,9743.0,390.0,38.0,1400.0,857.0,667.0,1182.0,158.0,96449.0
